Subject,Trial,Freq,SignalDetected,AvgPower,PowerVariability,DetectedTimePercentage_1dB,DetectionTime_1dB,DetectedTimePercentage_3dB,DetectionTime_3dB,DetectedTimePercentage_5dB,DetectionTime_5dB
1,2,15.8,1,11.74,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,15.8,1,7.40,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,0,8.0,0,3.47,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,1,8.0,1,5.01,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,2,8.0,0,-0.11,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,8.0,1,10.11,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,0,8.2,1,9.26,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,1,8.2,1,-1.04,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,8.2,0,-0.81,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,8.2,0,3.28,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,0,8.4,0,-8.81,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,8.4,0,2.10,0.00,100.00,0.00,0.00,nan,0.00,nan
2,2,8.4,0,2.07,0.00,100.00,0.00,0.00,nan,0.00,nan
2,3,8.4,1,4.28,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,0,8.6,0,1.23,0.00,100.00,0.00,0.00,nan,0.00,nan
2,1,8.6,0,-2.26,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,8.6,1,3.19,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,3,8.6,0,0.83,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,8.8,1,5.23,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,1,8.8,0,1.19,0.00,100.00,0.00,0.00,nan,0.00,nan
2,2,8.8,0,-2.68,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,8.8,0,0.36,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,9.0,1,8.69,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,1,9.0,1,8.45,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,2,9.0,0,5.45,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,3,9.0,1,3.89,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,0,9.2,1,9.95,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,1,9.2,1,8.01,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,2,9.2,0,9.09,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,3,9.2,0,2.33,0.00,100.00,0.00,0.00,nan,0.00,nan
2,0,9.4,1,0.17,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,9.4,1,5.71,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,2,9.4,0,2.51,0.00,100.00,0.00,0.00,nan,0.00,nan
2,3,9.4,0,-6.42,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,9.6,1,5.62,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,1,9.6,0,4.61,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,2,9.6,1,11.22,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,3,9.6,1,7.28,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,0,9.8,0,3.51,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,1,9.8,0,2.86,0.00,100.00,0.00,0.00,nan,0.00,nan
2,2,9.8,0,-1.13,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,9.8,1,7.12,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,0,10.0,0,-6.22,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,10.0,0,8.76,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,2,10.0,0,-3.52,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,10.0,0,1.47,0.00,100.00,0.00,0.00,nan,0.00,nan
2,0,10.2,0,0.10,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,10.2,0,6.67,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,2,10.2,0,-4.32,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,10.2,0,10.10,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,0,10.4,1,-0.51,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,10.4,1,7.22,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,2,10.4,1,7.53,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,3,10.4,1,3.67,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,0,10.6,0,-0.97,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,10.6,1,-7.11,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,10.6,1,-2.20,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,10.6,0,0.14,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,10.8,1,4.54,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,1,10.8,1,5.70,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,2,10.8,1,3.87,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,3,10.8,0,-4.02,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,11.0,1,5.28,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,1,11.0,0,-4.08,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,11.0,0,1.68,0.00,100.00,0.00,0.00,nan,0.00,nan
2,3,11.0,1,3.49,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,0,11.2,1,1.52,0.00,100.00,0.00,0.00,nan,0.00,nan
2,1,11.2,0,3.11,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,2,11.2,0,3.57,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,3,11.2,0,0.02,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,11.4,0,-2.93,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,11.4,0,3.79,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,2,11.4,0,1.61,0.00,100.00,0.00,0.00,nan,0.00,nan
2,3,11.4,0,-0.55,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,11.6,0,3.67,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,1,11.6,0,-11.09,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,11.6,0,5.51,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,3,11.6,0,2.86,0.00,100.00,0.00,0.00,nan,0.00,nan
2,0,11.8,0,2.47,0.00,100.00,0.00,0.00,nan,0.00,nan
2,1,11.8,0,-0.10,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,11.8,0,-0.80,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,11.8,0,5.29,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,0,12.0,0,-1.90,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,12.0,1,4.81,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,2,12.0,0,-3.77,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,12.0,0,2.71,0.00,100.00,0.00,0.00,nan,0.00,nan
2,0,12.2,1,-0.29,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,12.2,0,-2.47,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,12.2,0,-7.60,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,12.2,0,-5.59,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,12.4,0,3.38,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,1,12.4,1,8.96,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,2,12.4,0,-2.44,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,12.4,0,0.37,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,12.6,0,0.16,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,12.6,0,-1.63,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,12.6,0,-3.26,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,12.6,0,0.87,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,12.8,0,4.45,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,1,12.8,1,2.94,0.00,100.00,0.00,0.00,nan,0.00,nan
2,2,12.8,0,2.62,0.00,100.00,0.00,0.00,nan,0.00,nan
2,3,12.8,1,2.42,0.00,100.00,0.00,0.00,nan,0.00,nan
2,0,13.0,0,-2.38,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,13.0,1,2.35,0.00,100.00,0.00,0.00,nan,0.00,nan
2,2,13.0,0,-2.27,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,13.0,0,-1.24,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,13.2,1,4.35,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,1,13.2,0,-2.79,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,13.2,0,-5.16,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,13.2,1,1.51,0.00,100.00,0.00,0.00,nan,0.00,nan
2,0,13.4,0,4.42,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,1,13.4,0,8.02,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,2,13.4,0,-5.22,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,13.4,0,2.44,0.00,100.00,0.00,0.00,nan,0.00,nan
2,0,13.6,0,5.28,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,1,13.6,1,4.45,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,2,13.6,0,-1.82,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,13.6,1,2.73,0.00,100.00,0.00,0.00,nan,0.00,nan
2,0,13.8,1,4.60,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,1,13.8,0,2.20,0.00,100.00,0.00,0.00,nan,0.00,nan
2,2,13.8,0,2.88,0.00,100.00,0.00,0.00,nan,0.00,nan
2,3,13.8,1,-0.23,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,14.0,0,0.62,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,14.0,0,0.75,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,14.0,0,-2.88,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,14.0,0,-3.74,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,14.2,1,2.46,0.00,100.00,0.00,0.00,nan,0.00,nan
2,1,14.2,1,-0.34,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,14.2,0,2.15,0.00,100.00,0.00,0.00,nan,0.00,nan
2,3,14.2,0,-10.98,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,14.4,0,-2.70,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,14.4,0,-2.09,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,14.4,0,-1.13,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,14.4,0,4.75,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,0,14.6,0,-1.36,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,14.6,0,-10.96,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,14.6,0,3.21,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,3,14.6,0,-6.75,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,14.8,0,1.60,0.00,100.00,0.00,0.00,nan,0.00,nan
2,1,14.8,0,-5.51,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,14.8,0,0.42,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,14.8,0,-3.80,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,15.0,0,-0.14,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,15.0,0,2.50,0.00,100.00,0.00,0.00,nan,0.00,nan
2,2,15.0,0,8.62,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,3,15.0,0,-0.50,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,15.2,0,4.49,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,1,15.2,0,1.06,0.00,100.00,0.00,0.00,nan,0.00,nan
2,2,15.2,0,6.33,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,3,15.2,0,-0.52,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,15.4,0,-1.25,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,15.4,0,-6.02,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,15.4,1,6.17,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2,3,15.4,0,3.26,0.00,100.00,0.00,100.00,0.00,0.00,nan
2,0,15.6,0,-1.85,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,15.6,0,1.51,0.00,100.00,0.00,0.00,nan,0.00,nan
2,2,15.6,0,-4.88,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,15.6,0,-7.71,0.00,0.00,nan,0.00,nan,0.00,nan
2,0,15.8,1,-1.59,0.00,0.00,nan,0.00,nan,0.00,nan
2,1,15.8,0,-3.91,0.00,0.00,nan,0.00,nan,0.00,nan
2,2,15.8,0,-0.04,0.00,0.00,nan,0.00,nan,0.00,nan
2,3,15.8,0,-2.39,0.00,0.00,nan,0.00,nan,0.00,nan
3,0,8.0,0,9.01,0.00,100.00,0.00,100.00,0.00,100.00,0.00
3,1,8.0,0,5.72,0.00,100.00,0.00,100.00,0.00,100.00,0.00
3,2,8.0,0,8.87,0.00,100.00,0.00,100.00,0.00,100.00,0.00
3,3,8.0,0,7.46,0.00,100.00,0.00,100.00,0.00,100.00,0.00
3,0,8.2,0,3.84,0.00,100.00,0.00,100.00,0.00,0.00,nan
3,1,8.2,1,2.59,0.00,100.00,0.00,0.00,nan,0.00,nan
3,2,8.2,1,11.06,0.00,100.00,0.00,100.00,0.00,100.00,0.00
3,3,8.2,1,7.67,0.00,100.00,0.00,100.00,0.00,100.00,0.00
3,0,8.4,0,4.50,0.00,100.00,0.00,100.00,0.00,0.00,nan
3,1,8.4,0,-4.55,0.00,0.00,nan,0.00,nan,0.00,nan
3,2,8.4,0,1.13,0.00,100.00,0.00,0.00,nan,0.00,nan
3,3,8.4,1,7.35,0.00,100.00,0.00,100.00,0.00,100.00,0.00
3,0,8.6,0,2.27,0.00,100.00,0.00,0.00,nan,0.00,nan
3,1,8.6,0,2.54,0.00,100.00,0.00,0.00,nan,0.00,nan
3,2,8.6,1,9.71,0.00,100.00,0.00,100.00,0.00,100.00,0.00
